Section,Item #,Checklist Item,Owning Agent(s),Code Artifact,Status,Notes,Questions,Last updated,Update Log
03 URLA / 1003 Review,1,Confirm Applicant Name; update AKAs from Credit Report,review,review_borrower_summary.py,Implemented,"Name vs Driver's License + credit-report AKA reconciliation: borrower/co-borrower AKAs (borrower_aka/coborrower_aka) compared to the legal name and the URLA alias field; write-if-blank to verified fields 1869 (borrower) / 1874 (co-borrower), otherwise flag missing aliases for manual add (never overwrites a populated field).",,2026-07-01,2026-07-01 built AKA write-if-blank (1869/1874) + reconcile
03 URLA / 1003 Review,2,Confirm SSN and DOB,review,review_borrower_summary.py,Implemented,Fields read,,"June 30, 2026",
03 URLA / 1003 Review,3,Confirm current and mailing address,review,review_urla_page1.py:159-189,Implemented,"Current address completeness check + mailing-same auto-write (1819/1820, borrower + co-borrower) implemented",,"June 30, 2026",
03 URLA / 1003 Review,4,Signed and dated by LO and Applicant,none,review_urla_signatures.py (3.3),Implemented,"review flag only (warn/info, no writes) — borrower urla_signed + borrower_signature_date; co-borrower coborrower_signature_date when co-borrower present; LO loan_officer_signed + loan_officer_signature_date from 1003 URLA extraction (new CatchingDoc fields)",,2026-07-13,2026-07-13 shipped 03 #4 URLA signature review + CatchingDoc schema fields
03 URLA / 1003 Review,5,Two-year residence and employment history verified,review,review_urla_page1.py:191-244 + review_urla_employment.py:407-420,Implemented,"Residence 2-yr former-address rule (X265/X266 auto-write + former-address-required warning, borrower + co-borrower) and employment gap/<2yr prior-employer checks both implemented",,"June 30, 2026",
03 URLA / 1003 Review,6,"Update Current Employer Info (Name, Address, Phone, Start Date)",review,review_urla_employment.py:542-624,Implemented,"VOE via Encompass v3 employment API for borrower AND co-borrower (separate applicant calls), each matched to its own VOE copy by employer name; per-record cross-ref vs VOE doc",,"June 30, 2026",
03 URLA / 1003 Review,7,Update Gross Monthly Income and Other Sources,review,review_urla_employment.py:320 / review_urla_other_income.py,Implemented,Base monthly pay checked + co-borrower income validation with income-match confirmation flags; other income surfaced,,"June 30, 2026",
03 URLA / 1003 Review,8,Liabilities correct and match credit report; paid/omitted,review,review_urla_liabilities.py:95-139,Implemented,"Credit-report liabilities[] reconciled against VOL rows: match by account last-4 (+creditor/balance); blank VOL sub-field + doc value -> fill blank only via update_vols (unpaid balance/payment/credit limit/account number); both populated but differ -> warning (never overwrite); tradeline with no VOL row -> warning (never auto-add, affects DTI); duplicate tradelines (same acct last-4 + creditor) -> warn once, include once; authorized-user missing -> softer info. No-op until catchingDoc liabilities[] schema pushed.",,2026-07-06,2026-07-06 built credit-report -> VOL reconciliation + blank-only VOL write path (update_vol_accounts / update_vols)
03 URLA / 1003 Review,9,Child support / Alimony payments noted,review,review_urla_liabilities.py (2d) / review_urla_other_income.py,Implemented,"Support-type tradelines (child support / alimony / separate maintenance) detected from account_type/status and routed with an info flag to URLA Section 3d (Other Liabilities), not treated as a 3c credit liability; existing Section 2d surfacing retained.",,2026-07-06,2026-07-06 alimony/child-support routed to Section 3d in credit-report reconciliation
03 URLA / 1003 Review,10,Schedule of real estate complete; debts tied to properties,review,review_urla_reo.py:92-103,Implemented,Each is_mortgage tradeline linked to a property: secured_property_address matched against subject address + REO rows (read_reo_properties). No match -> warning (mortgage debt not tied to a property); no secured address -> info to confirm the link. REO list still surfaced by review_urla_reo.,,2026-07-06,2026-07-06 built mortgage tradeline -> REO/subject linkage
03 URLA / 1003 Review,11,Confirm correct mortgage on Financial Info screen,review,review_urla_reo.py / review_urla_liabilities.py,Implemented,Mortgage tradelines reconciled against VOL: balance/payment mismatch -> warning; blank VOL sub-field filled from credit report; liability-type mismatch -> warning; mortgage-to-property linkage checked (see #10).,,2026-07-06,2026-07-06 mortgage-correctness checks via credit-report reconciliation
03 URLA / 1003 Review,12,USPS Address Verification vs Appraisal/Flood/HOI/Title/Tax/Purchase,review,review_borrower_summary.py,Implemented,"Subject address now cross-referenced against the USPS-validated address across multiple docs: Purchase Contract + Appraisal (pre-existing) plus Tax Certificate (tax_property_address), Evidence of Insurance (insured_location/hazard_insurance_address), and Title Report (property_address, source-filtered). Mismatch => warning, match => info; addresses are never auto-corrected. Flood-cert address cross-ref (12 #2) now lives in the dedicated STEP_08 review_flood_hazard_insurance.py.",,2026-07-06,Implemented 3#12 multi-doc (Tax/HOI/Title) subject-address vs USPS cross-ref; flood leg moved to STEP_08
03 URLA / 1003 Review,13,Confirm Name and Vesting for Title Commitment,review,update_urla_lender.py,Implemented,"Now reconciles field 33 against the Title Report extracted final_vesting: normalizes the tenancy phrase to a standard Encompass manner-held value and overwrites field 33 + URLA.X138 when LOS differs (writes the normalized standard, e.g. 'tenancy in the common' => 'Tenancy in Common'; info-overwrite, no warning). Title value not mapping to a recognized standard => LOS kept + warning. Applicant surnames confirmed vs vesting string (warn only). Title takes precedence over profile computation.",,2026-07-06,Implemented 3#13 title-commitment vesting reconciliation w/ EC-standard normalization
03 URLA / 1003 Review,14,Declarations completed; obtain supporting docs (LOE),review,review_urla_declarations.py:109-236,Implemented,5a occupancy cascade done; request LOE generation via Disclosure Summary,,"June 30, 2026",
03 URLA / 1003 Review,15,HMDA info completed,none,—,Not Implemented,No tool,,"June 30, 2026",
03 URLA / 1003 Review,16,Bankruptcy identified; BK documents requested,none,—,Not Implemented,No tool,,"June 30, 2026",
03 URLA / 1003 Review,17,US Citizen confirmed; Green card for Resident Alien,review,review_urla_page1.py,Implemented,"Citizenship (URLA.X1/X2) validated against {US Citizen, Permanent Resident Alien, Non-Permanent Resident Alien}, warns if empty/invalid; never auto-populated. NEW: when borrower or co-borrower is a Permanent or Non-Permanent Resident Alien, warns to obtain residency/work-authorization docs - Green Card (I-551) for Permanent, valid visa/EAD (I-766) for Non-Permanent. (Auto-sending the request remains an external workflow.)",,2026-07-06,Implemented 3#17 resident-alien documentation flag (green card / EAD)
03 URLA / 1003 Review,18,"If Government Loan, complete Government screen (CAIVRS, Housing Act, LAPP)",review,update_fha_management.py:124-272,"Partial, Needs Clarification","FHA loans: writes CAIVRS Authorization # (borrower 1018 / co-borrower 1144, write-if-blank, stamps date 3067 / by 3068) + FHA Case # (1040) from extracted docs; Housing Act Field / LAPP Assignment not yet written",Need a live example for this,"July 6, 2026",07-06-2026 added Needs Clarification to status
03 URLA / 1003 Review,19,"Update Mortgage Terms screen (Refi: Year Acquired, Original Cost, etc.)",none,—,Not Implemented,No tool,,"June 30, 2026",
03 URLA / 1003 Review,20,Complete Indexing of Initial Disclosures,review,run_pre_checks.py (1.1),Implemented,"Indexing of initial disclosures verified via run_pre_checks (1.1): confirms the initial/MD eDisclosures are present (indexed) in the eFolder bucket via _efolder_present + MD eDisclosure flags; flags ""MD State Disclosures Missing"" (not indexed) and ""MD State Disclosure Not Signed"" when unsigned.",,2026-07-13,2026-07-13 linked run_pre_checks (1.1) — initial-disclosure indexing = eFolder presence check
03 URLA / 1003 Review,21,Complete 1003 HUD Addendum if applicable,review,update_hud_addendum.py (3.2),Implemented,"FHA/VA only — auto-writes HUD 1003 Addendum fields: Agency Type (1711), Lender ID (1059), Section of the Act (1039 FHA), 22a (900), 25(2) Occupancy (1065); flags Agency Case #, appraised value, Part IV manual fields; no-op Conventional/USDA",,2026-07-13,2026-07-13 shipped 03 #21 HUD Addendum completion in update_hud_addendum (STEP_03 3.2)
04 Credit Report Review,1,Confirm Xactus Credit Report ID# matches; confirm expiration,review / integrations,review_borrower_summary.py (2.1),Implemented,"review flag only (warn/info, no writes) — credit_reference_number (extracted report ID) vs Encompass field 300; credit_report_order_date + 120-day validity vs today and Est Closing Date (763/4114)",,2026-07-13,2026-07-13 shipped 04 #1 in review_borrower_summary (STEP_02 2.1)
04 Credit Report Review,2,Confirm Applicant Name and AKAs to Processor Workflow,review,—,Not Implemented,No AKA reconciliation,,"June 30, 2026",
04 Credit Report Review,3,Review SSN confirmation / discrepancies,review,review_borrower_summary.py (2.1),Implemented,"review flag only (warn/info, no writes) — borrower + co-borrower SSN full-digit compare vs credit report (fields 65/97); last-4 shown in flag text",,2026-07-13,2026-07-13 shipped 04 #3 in review_borrower_summary (STEP_02 2.1)
04 Credit Report Review,4,Confirm Address Variances & Employment Discrepancies,review,review_borrower_summary.py (2.1),Implemented,"review flag only (warn/info, no writes) — borrower_current_address (new CatchingDoc field) vs FR0126 present address; employer_name vs be01_employer_name/1169 loose containment",,2026-07-13,2026-07-13 shipped 04 #4 in review_borrower_summary (STEP_02 2.1)
04 Credit Report Review,5,"Review for Frozen Bureau, Fraud or OFAC alerts",none,review_borrower_summary.py (2.1),Partial,"frozen-bureau only (warn/info, no writes) — credit_score_factors[] score==0 flags frozen/unavailable bureau; fraud/OFAC alerts not implemented",,2026-07-13,2026-07-13 shipped 04 #5 frozen-bureau check in review_borrower_summary (STEP_02 2.1)
04 Credit Report Review,6,Compare Liabilities/Debts vs Encompass Financial Info,review,review_urla_liabilities.py,Implemented,Credit-report liabilities[] diffed against Encompass VOL rows (shared logic with 03 #8): per-field match/mismatch/blank-fill/whole-missing policy with blank-only VOL writes. No-op until catchingDoc liabilities[] schema pushed.,,2026-07-06,2026-07-06 same credit-vs-Encompass reconciliation as 03 #8
04 Credit Report Review,7,Inquiries within last 120 days — explanation requested,none,review_borrower_summary.py (2.1) + build_action_items.py (13.3),Implemented,review flag lists inquiries within 120 days of credit_report_order_date (new CatchingDoc inquiries[] field) — LOX required; build_action_items _rule_inquiry_loe emits email comms action item (processor_inquiry_loe graph — comms repo dependency),,2026-07-13,2026-07-13 shipped 04 #7 inquiry LOX flag + action item
04 Credit Report Review,8,Confirm mortgage reporting/current; supplement ordered if needed,integrations,—,Not Implemented,Xactus credit supplement absent,,"June 30, 2026",
04 Credit Report Review,9,Open accounts that should be closed — supplement ordered,none,—,Not Implemented,No tool,,"June 30, 2026",
04 Credit Report Review,10,Disputed accounts noted and addressed,none,—,Not Implemented,No tool,,"June 30, 2026",
05 Income — W-2 Employees,1,Third-party verification of employer (VVOE),integrations,— (Work Number/Xactus),Not Implemented,No VVOE order,,"June 30, 2026",
05 Income — W-2 Employees,2,"Verify pay stubs per AUS, dated within 30 days",review,review_urla_employment.py,Implemented,Paystub recency enforced: most recent pay_date must be within 30 days (AUS); flags stale or unverifiable when no readable pay date.,,"July 3, 2026",2026-07-03: Added paystub 30-day recency check (review_urla_employment).
05 Income — W-2 Employees,3,Verify name/address/employer on stubs,review,review_urla_employment.py,Implemented,Paystub identity: borrower name + employer on each stub reconciled against 1003/VOE (token match); flags name or employer mismatch.,,"July 3, 2026",2026-07-03: Added paystub name/employer identity cross-check (review_urla_employment).
05 Income — W-2 Employees,4,Review paystub variances base/OT/bonus/holiday,review,review_urla_employment.py,Implemented,"Consumes extracted paystub earnings[] line items; classifies each into base/overtime/bonus/commission/holiday/pto (regex, word-boundary); per applicant emits YTD composition summary (info) and warns 'Variable Income Material — 2-Year Averaging Required' when OT+bonus+commission >=25% of YTD gross, else info nudge to confirm averaging. earnings registered in required_docs.json; no-op until catchingDoc earnings[] schema pushed.",,2026-07-06,2026-07-06 built earnings-variance rule (base vs OT/bonus/commission) + earnings[] registration
05 Income — W-2 Employees,5,Review out-of-ordinary deductions; explanations,none,—,Not Implemented,No tool,,"June 30, 2026",
05 Income — W-2 Employees,6,Verify last 2yr W-2/1099 per AUS,review,—,Not Implemented,No W-2 parsing,,"June 30, 2026",
05 Income — W-2 Employees,7,Obtain gap of employment letters,review / communications,review_urla_employment.py:407-420,Implemented,"Review side complete: existing _check_employment_gap flag now bridges into comms_actions via _rule_employment_gap_loe (action_type employment_gap_loe, graph_id processor_employment_gap_loe, resume_contract email), payload carries applicants_with_gaps + gap_details. One item/loan for all applicants; excludes the 'no prior employer/<2yr' data-entry flag. The email template/graph is the comms-owned seam (switch to blend_loe for e-sign).",,2026-07-06,2026-07-06 built review->comms action-item bridge for employment-gap LOE
05 Income — W-2 Employees,8,VOE consistency with paystubs and W-2,review,review_urla_employment.py,Implemented,W-2 employer + name consistency cross-checked against VOE/1003; surfaces tax year(s) on file.,,"July 3, 2026",2026-07-03: Added W-2 vs VOE/1003 consistency + tax-year surfacing (review_urla_employment).
05 Income — W-2 Employees,9,Verify for teachers (9 or 12 months),none,—,Not Implemented,No tool,,"June 30, 2026",
05 Income — W-2 Employees,10,Complete income worksheet per program,integrations,— (Ocrolus),"Not Implemented, Ordering blocked by unavailable credentials",Ocrolus income calc not wired,,"June 30, 2026",
06 Income — SS/Pension/Retirement,1,Obtain/review awards letters and 1099s per AUS,review,review_urla_other_income.py,"Partial, Needs Clarification",Other income surfaced; doc validation not yet done,When do we request the awards letters and 1099s? Is it based on the UW decision?,"June 30, 2026",
06 Income — SS/Pension/Retirement,2,Verify if income can be grossed up,none,—,Not Implemented,No gross-up logic,,"June 30, 2026",
06 Income — SS/Pension/Retirement,3,Verify receipt on bank statements,review,review_urla_other_income.py,Implemented,"Tier 3: added structured recurring_deposits[] (source/income_type/amount/date/frequency) to Bank Statement server schema + required_docs.json. review_urla_other_income.py matches stated other-income type (F172) to recurring deposits — confirms receipt, reconciles monthly amount vs F173 (>10% => warning), else flags not-evidenced. Runs only when a bank statement is in the file. Extraction validated on 2604964148 (exclusion case clean); positive path unit-tested.",,2026-07-03,Implemented Tier 3 recurring_deposits extraction + receipt-match rule
06 Income — SS/Pension/Retirement,4,"Verify continuation of receipt (disability, etc.)",none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,1,"2yr federal tax returns (or 1yr per AUS), signed/dated",review,—,Not Implemented,No tax return parsing,,"June 30, 2026",
07 Income — Self-Employed,2,"Verify borrower name, address, SSN",review,review_borrower_summary.py (1.6/3.1),Implemented,Identity checks apply to all borrowers incl. self-employed: name vs Driver's License + SSN vs Credit Report (1.6/3.1); property address via USPS address_validation. No SE-specific gap.,,"July 3, 2026",2026-07-03: Marked Implemented — covered by earlier 1.6/3.1 identity checks.
07 Income — Self-Employed,3,Review Schedule C income for qualification,none,—,Not Implemented,No Schedule C parser,,"June 30, 2026",
07 Income — Self-Employed,4,Review Schedule E properties / rental income,review,review_urla_other_income.py:31,Needs Clarification,Needs clarification + a live example. No loan with a personal 1040 / Schedule E found in the eFolder to build or verify against. Blocked on (1) the exact eFolder bucket name for personal tax returns (repo only has 'Tax Returns - Business'; no personal 1040/Schedule E doc type) and (2) a sample loan containing Schedule E. Design is ready: server-side Schedule E extraction schema (LG-docsOrch) + a review rule to match Schedule E properties to REO/subject by address and reconcile net rental income vs LOS.,Needs live example with 1040 docs,2026-07-07,2026-07-07 marked Needs Clarification — no live 1040/Schedule E example found; awaiting doc-type name + sample loan
07 Income — Self-Employed,5,2yr personal & corporate returns (S Corp/Partnership),none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,6,"Request/review P&L, Balance Sheet, 3rd-party verification",none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,7,K-1s; income distributed or liquidity test,none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,8,Verify ownership percentage,none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,9,Verified self-employment via 3rd-party source,none,—,Not Implemented,No tool,,"June 30, 2026",
07 Income — Self-Employed,10,Complete income worksheet per program,integrations,— (Ocrolus),"Not Implemented, Ordering blocked by unavailable credentials",,,"June 30, 2026",
08 Assets Review,1,60 consecutive days statements w/ name/address/account,review,review_urla_assets.py:236-393,Implemented,Recency check (Conv 60d / FHA 30d) + field extraction,,"June 30, 2026",
08 Assets Review,2,Transaction history if needed to current,review,review_urla_assets.py,Implemented,Recency-to-current (60d Conv/30d FHA) + coverage continuity: flags gap >35d between consecutive statement periods (missing month).,,"July 3, 2026",2026-07-03: Added bank-statement coverage-continuity gap check (review_urla_assets).
08 Assets Review,3,Joint Access letter (Gov't) if needed,none,—,Not Implemented,No tool,,"June 30, 2026",
08 Assets Review,4,Review large deposits and document source,review,review_urla_assets.py:317-372,Implemented,Large/green deposit + ZEL/Zelle flags; VOD cross-ref,,"June 30, 2026",
08 Assets Review,5,Review transfers between accounts; all statements in file,review,review_urla_assets.py,Implemented,"Consumes extracted bank-statement transactions[] ledger; classifies each row (regex + extractor hints) into internal transfer in/out vs card-payment vs none, extracts counterparty account last-4, and checks it against the file's account inventory (VODs + bank + asset account last-4s). Incoming transfer sourced -> info-confirm; unsourced -> warning (obtain that account's statement); outgoing -> info; card payments/payroll/P2P Zelle excluded. transactions registered in required_docs.json; no-op until catchingDoc transactions[] schema pushed.",,2026-07-06,2026-07-06 built inter-account transfer tracing (transactions[] ledger + account inventory)
08 Assets Review,6,EMD cleared; obtain copy of deposit (Purchase),review / communications,review_urla_emd.py:49-209 + graphs/processor_emd_request.py,Implemented,"Fetches EarnestMoney from Encompass otherAssets API, compares vs Purchase Agreement emd_amount (>$1 mismatch flag), flags EMD-not-found / not-entered, prompts EMD check-copy verification + Realtor email; comms EMD request email v1 (no auto-attach)",,"June 30, 2026",
08 Assets Review,7,Gift funds; gift letter + deposit,review / communications,review_urla_downpayment.py:70-174,Implemented,"Reads giftsGrants API: per Gift (GiftOfCash/Equity) flags Gift Letter Missing vs Present (eFolder check); per Grant flags deposited/not-deposited; AMI ≤50% → Freddie Mac $2,500 grant eligibility check; gift-letter REQUEST email still not auto-sent (comms)",,"June 30, 2026",
08 Assets Review,8,Sale of personal item proofs,none,—,Not Implemented,No tool,,"June 30, 2026",
08 Assets Review,9,Proof of ownership/value/Bill of Sale/receipt,none,—,Not Implemented,No tool,,"June 30, 2026",
08 Assets Review,10,Complete asset screen (Encompass Page 3),review,review_urla_assets.py + encompass_client.update_vod_accounts,Implemented,"Existing 2a/VOD entries that match a bank statement / asset doc but have BLANK subfields are now completed: account type, cash/market value, account number, and account holder are filled from the extracted doc via update_vods (PATCH /vods/{id}, URLA-2020 items schema). Only blank fields are written - a populated value is never overwritten (still warned on discrepancy). Legacy accountInformation VODs are surfaced for manual completion. Honors DEV_MODE.dry_run. Complements the existing add_vods path for entirely-missing accounts. Also fixed _parse_float to tolerate currency strings ($, commas) so balances parse.",,2026-07-06,Implemented 8#10 blank-subfield completion of existing 2a/VOD entries (write-blank-only)
08 Assets Review,11,Review Retirement Accounts as applicable,review,"review_urla_assets.py:153-184,599-660",Implemented,"Builds retirement records from 'Retirement Account Statement' / Assets buckets, matches to 2a/VOD rows; FHA 60% haircut check (vested × 0.6 net of 401k loans) vs Encompass VOD amount",,"June 30, 2026",
09 Purchase Contract Review,1,Confirm Applicant and Seller Names on Title/Tax Cert,review,review_file_contacts.py,Implemented,Seller name: LOS vs SELLER contact + Purchase Contract pa_seller_name; applicant vs Title Report final_vesting; tax-cert owner of record (tax_owner_name added to Tax Summary server schema) cross-checked vs seller (purchase) / borrower (refi).,,2026-07-01,2026-07-01 added tax_owner_name extraction + tax-cert owner cross-check
09 Purchase Contract Review,2,Confirm Property Address matches Encompass,review,review_borrower_summary.py,Implemented,Property vs Encompass/USPS + explicit confirmation flag,,2026-07-01,2026-07-01 explicit confirm flag
09 Purchase Contract Review,3,Confirm Purchase Terms,review,review_borrower_summary.py,Implemented,Price + closing date + seller credits/concessions + financing contingency (payment_terms) + repairs / home warranty / fee allocation + personal property included (personal_property_included added to the Purchase Agreement server schema) surfaced for processor confirmation vs the fee worksheet / Loan Estimate.,,2026-07-01,2026-07-01 added personal_property_included extraction + surfacing
09 Purchase Contract Review,4,Confirm Fully Executed Contract on File,none,—,Not Implemented,No execution check,,"June 30, 2026",
09 Purchase Contract Review,5,Update Loan Stakeholders,review,review_file_contacts.py,Implemented,"Loan stakeholders (buyer's/seller's real estate agents) are synced from the Purchase Contract OCR: _sync_contacts writes BUYERS_AGENT and SELLERS_AGENT file contacts from the extracted buyer_agent_*/seller_agent_* fields (name, company, license, phone, email, address), also fed by the ESS broker columns. Same purchase-contract source as the listing/selling company block; create-or-overwrite-differing with info-overwrite flags.",,2026-07-06,Marked Implemented — stakeholders synced from Purchase Contract in review_file_contacts.py
10 Title Order & Review,1,Order Prelim Title Commitment,communications,graphs/processor_title_order.py,Implemented,Covered by request title order email via dashboard,,"June 30, 2026",
10 Title Order & Review,2,"Confirm completeness (CPL, chain, wire instr, tax cert)",communications,—,Partial,"Covered by request title order email via dashboard, no package-completeness check",,"June 30, 2026",
10 Title Order & Review,3,"Update Encompass w/ Tax Cert (Parcel, Annual Amount)","communications, review",—,"Partial, Needs Clarification","Covered by request title order email via dashboard, no Encompass update",Where do we update these info in Encompass?,"June 30, 2026",
10 Title Order & Review,4,Confirm Legal Description,communications,—,Implemented,Covered by request title order email via dashboard,,"June 30, 2026",
10 Title Order & Review,5,"Upload title docs (Est CD, prelim, CPL, wire, E&O)",document-management,graphs/upload_forms_to_efolder.py,"Partial, Ordering blocked by unavailable credentials",Generic upload available via dashboard Doc Management upload button; Qualia download pipeline for source docs still blocked (creds),,2026-07-13,
11 Appraisal Order & Review,1,Order Appraisal per AUS Findings,integrations,output/tools/channel_a.py:87-192,"Partial, Ordering blocked by unavailable credentials",Reggora lib done; to plug credentials,,"June 30, 2026",
11 Appraisal Order & Review,2,PIW waiver issued/executed if applicable,review,update_transmittal_summary.py,Not Implemented,No PIW check,,"June 30, 2026",
11 Appraisal Order & Review,3,Compare Appraisal Address vs USPS,review,review_borrower_summary.py,Implemented,"Appraisal-specific subject address vs USPS-validated address (appraisal_property_address, else appraisal-sourced property_address); reuses address_validation. Confirms on match, warns on house-number/street mismatch. Appraisal doc-type/field mapping reconciled to real server schema.",,2026-07-01,2026-07-01 built appraisal address vs USPS + mapping fix
11 Appraisal Order & Review,4,"Confirm Legal Description, Applicant, Seller (Purchase)",none,—,Not Implemented,No tool,,"June 30, 2026",
